Average End-to-End Delays (seconds):
To:       A          B          C          D          E          F          G
A   0.000000    0.889894    0.971588    0.998506    0.995905    0.992037    0.963813    
B   1.132118    0.000000    1.016829    0.991063    1.018425    1.000258    0.906289    
C   1.484311    1.634223    0.000000    0.963128    1.009910    0.920401    0.000000    
D   1.603571    1.854201    1.016380    0.000000    0.924962    0.000000    0.465341    
E   1.561795    1.831102    1.074240    0.923078    0.000000    0.475015    1.060714    
F   1.427976    1.780990    1.175223    0.000000    0.539139    0.000000    1.202689    
G   1.241774    1.640087    0.000000    0.468834    0.684259    0.576848    0.000000    

Variance of Delays (seconds):
To:       A          B          C          D          E          F          G
A   0.000000    0.053442    0.078294    0.106209    0.088483    0.118964    0.030159    
B   0.054796    0.000000    0.072352    0.070056    0.093849    0.085005    0.024880    
C   0.079313    0.078160    0.000000    0.066418    0.081719    0.040251    0.000000    
D   0.101287    0.083898    0.043034    0.000000    0.028942    0.000000    0.017759    
E   0.111605    0.083528    0.062411    0.043956    0.000000    0.012706    0.030492    
F   0.067456    0.064983    0.009454    0.000000    0.011717    0.000000    0.025142    
G   0.123237    0.109616    0.000000    0.016809    0.022933    0.018095    0.000000    
